"","cntry","regionde","intewde","regionfr","cedition","cseqno","essround","idno","dweight","pspwght","pweight","tvpol","rdpol","nwsppol","polintr","psppsgv","psppsgva","psppipl","psppipla","polcmpl","contplt","wrkprty","badge","clsprty","prtdgcl","mmbprty","lrscale","trstprl","trstplt","trstprt","trstep","stflife","stfeco","stfgov","stfdem","prtyban","euftf","imdfetn","impcntr","imbgeco","imueclt","imwbcnt","imwbcrm","noimbro","qfimcmt","imptrad","ipstrgv","impsafe","jbscr","optftr","fltanx","nhpftr","lfwrs","uemplwk","acetalv","eduyrs","blue_c","uemp5yr","gndr","agea","vote","vote_rrp","prtvade1","prtvbde1","prtvcde1","prtvdde1","prtvede1","prtvde2","prtvade2","prtvbde2","prtvcde2","prtvdde2","prtvede2","prtvtfr","prtvtafr","prtvtbfr","prtvtcfr","prtclde","prtclade","prtclbde","prtclcde","prtcldde","prtclede","prtclafr","prtclbfr","prtclcfr","prtcldfr","prtclefr","prtmbde","prtmbade","prtmbbde","prtmbcde","prtmbafr","prtmbbfr","prtmbcfr"
"17446","DE",NA,1,NA,1,84321,7,10000011,0.531346194430172,0.607554869364722,2.304125911,2,NA,NA,2,6,NA,8,NA,NA,0,0,0,0,NA,NA,4,7,4,4,5,9,8,7,7,NA,6,2,2,5,7,8,5,2,7,4,4,4,NA,5,NA,NA,NA,NA,2,12,0,NA,1,52,1,0,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17447","DE",NA,1,NA,1,84322,7,10000021,0.531346194430171,0.462666349695611,2.304125911,3,NA,NA,2,0,NA,2,NA,NA,0,0,0,1,2,NA,5,5,5,5,5,5,8,4,5,NA,5,2,3,0,2,0,0,25,10,5,4,3,NA,5,NA,NA,NA,NA,2,17,0,0,0,52,1,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17448","DE",NA,2,NA,1,84323,7,10000051,1.2278082920193,0.640290407743437,2.304125911,2,NA,NA,2,3,NA,3,NA,NA,0,0,0,0,NA,NA,6,5,5,5,5,7,3,4,6,NA,7,1,1,6,8,6,5,15,5,2,4,4,NA,5,NA,NA,NA,NA,1,19,0,0,1,62,1,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17449","DE",NA,2,NA,1,84324,7,10000061,1.2278082920193,1.1426156937761,2.304125911,2,NA,NA,2,3,NA,2,NA,NA,0,0,0,0,NA,NA,5,0,0,0,0,9,8,5,7,NA,4,2,2,5,6,5,3,10,9,4,1,3,NA,5,NA,NA,NA,NA,2,12,0,NA,0,62,1,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17450","DE",NA,2,NA,1,84325,7,10000111,1.2278082920193,0.852731045011197,2.304125911,1,NA,NA,3,6,NA,6,NA,NA,0,0,0,1,2,NA,5,NA,5,5,7,7,NA,NA,7,NA,7,1,1,5,9,8,5,10,7,4,2,3,NA,5,NA,NA,NA,NA,2,14,1,NA,0,20,1,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17451","DE",NA,1,NA,1,84326,7,10000151,0.531346194430171,0.364096716966934,2.304125911,2,NA,NA,1,8,NA,8,NA,NA,1,0,0,1,2,NA,2,7,7,6,4,10,7,5,8,NA,10,1,1,8,9,9,5,1,4,0,2,3,NA,5,NA,NA,NA,NA,2,17,0,NA,1,49,1,0,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17452","DE",NA,1,NA,1,84327,7,10000181,0.531346194430172,0.31001396941546,2.304125911,2,NA,NA,1,3,NA,7,NA,NA,0,0,0,0,NA,NA,3,5,4,3,3,8,8,8,8,NA,8,1,1,8,9,9,4,15,9,2,4,4,NA,5,NA,NA,NA,NA,1,18,0,0,1,63,0,0,NA,NA,NA,NA,66,NA,NA,NA,NA,NA,66,NA,NA,NA,NA,NA,NA,NA,NA,NA,66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17453","DE",NA,2,NA,1,84328,7,10000191,1.2278082920193,1.35282149617968,2.304125911,1,NA,NA,2,3,NA,0,NA,NA,0,0,0,0,NA,NA,5,0,1,1,0,5,3,3,5,NA,5,2,2,2,5,5,4,40,10,4,4,5,NA,5,NA,NA,NA,NA,1,13,1,NA,0,32,0,0,NA,NA,NA,NA,66,NA,NA,NA,NA,NA,66,NA,NA,NA,NA,NA,NA,NA,NA,NA,66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17454","DE",NA,1,NA,1,84329,7,10000251,0.531346194430171,0.340688147001563,2.304125911,1,NA,NA,2,7,NA,7,NA,NA,0,0,0,1,2,NA,6,5,4,3,3,9,6,5,4,NA,0,2,2,8,8,8,3,10,10,5,4,0,NA,5,NA,NA,NA,NA,1,13,0,1,0,66,1,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17455","DE",NA,2,NA,1,84330,7,10000261,1.2278082920193,1.73508139402608,2.304125911,3,NA,NA,2,1,NA,2,NA,NA,0,0,0,1,2,NA,4,8,7,6,8,8,6,5,8,NA,9,1,2,8,10,9,1,50,9,0,4,1,NA,5,NA,NA,NA,NA,3,9,1,NA,1,15,NA,0,NA,NA,NA,NA,66,NA,NA,NA,NA,NA,66,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
